Week,IsReturn,TotalOrders,ReturnCount,ReturnRate,ReturnRate_Diff_1,ReturnRate_Accel,ReturnRate_Lag_1,ReturnRate_Lag_2,ReturnRate_Lag_4,ReturnRate_Lag_8,ReturnRate_Lag_12,ReturnRate_RollMean_4,ReturnRate_RollStd_4,ReturnRate_RollMax_4,ReturnRate_RollMean_8,ReturnRate_RollStd_8,ReturnRate_RollMax_8,ReturnRate_RollMean_12,ReturnRate_RollStd_12,ReturnRate_RollMax_12,WeekOfYear,Week_Sin,Week_Cos,Cat_Apparel & Accessories,Cat_Bags & Storage,Cat_Gifts & Stationery,Cat_Holiday,Cat_Home Decor,Cat_Kitchenware,Cat_Miscellaneous
2010-03-01,0,25,0,0.0,-0.0384615384615384,-0.0769230769230768,0.0384615384615384,0.0,0.0,0.0,0.0666666666666666,0.0096153846153846,0.019230769230769197,0.0384615384615384,0.01138663967611335,0.021421379635482865,0.0526315789473684,0.016618870895186665,0.025433846741741643,0.0666666666666666,9,0.8854560256532099,0.4647231720437686,True,False,False,False,False,False,False
2010-03-08,0,19,0,0.0,0.0,0.0384615384615384,0.0,0.0384615384615384,0.0,0.0,0.0416666666666666,0.0096153846153846,0.019230769230769197,0.0384615384615384,0.01138663967611335,0.021421379635482865,0.0526315789473684,0.011063315339631117,0.02026353823268683,0.0526315789473684,10,0.9350162426854148,0.35460488704253557,True,False,False,False,False,False,False
2010-03-15,1,21,1,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,0.0096153846153846,0.019230769230769197,0.0384615384615384,0.01138663967611335,0.021421379635482865,0.0526315789473684,0.0075910931174089,0.017984530490789217,0.0526315789473684,11,0.970941817426052,0.23931566428755804,True,False,False,False,False,False,False
2010-03-22,0,23,0,0.0,-0.0476190476190476,-0.0952380952380952,0.0476190476190476,0.0,0.0384615384615384,0.0526315789473684,0.0,0.0215201465201465,0.025128979366322766,0.0476190476190476,0.017339020628494302,0.02423637658156429,0.0526315789473684,0.011559347085662868,0.02113490150718974,0.0526315789473684,12,0.992708874098054,0.120536680255323,True,False,False,False,False,False,False
2010-03-29,0,12,0,0.0,0.0,0.0476190476190476,0.0,0.0476190476190476,0.0,0.0,0.0,0.0119047619047619,0.023809523809523798,0.0476190476190476,0.010760073260073251,0.020073544154563142,0.0476190476190476,0.011559347085662868,0.02113490150718974,0.0526315789473684,13,1.0,-1.6081226496766366e-16,True,False,False,False,False,False,False
2010-04-05,0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0119047619047619,0.023809523809523798,0.0476190476190476,0.01076007326007325,0.020073544154563142,0.0476190476190476,0.011559347085662868,0.02113490150718974,0.0526315789473684,14,0.992708874098054,-0.12053668025532288,True,False,False,False,False,False,False
2010-04-12,1,8,1,0.125,0.125,0.125,0.0,0.0,0.0476190476190476,0.0,0.0,0.0119047619047619,0.023809523809523798,0.0476190476190476,0.01076007326007325,0.020073544154563142,0.0476190476190476,0.011559347085662868,0.02113490150718974,0.0526315789473684,15,0.9709418174260521,-0.2393156642875575,True,False,False,False,False,False,False
2010-04-19,9,22,9,0.4090909090909091,0.2840909090909091,0.15909090909090912,0.125,0.0,0.0,0.0384615384615384,0.0526315789473684,0.03125,0.0625,0.125,0.02638507326007325,0.04440477276384031,0.125,0.021976013752329535,0.038549383409944175,0.125,16,0.9350162426854148,-0.35460488704253545,True,False,False,False,False,False,False
2010-04-26,0,21,0,0.0,-0.4090909090909091,-0.6931818181818182,0.4090909090909091,0.125,0.0,0.0,0.0,0.1335227272727273,0.19293098689033691,0.4090909090909091,0.07271374458874459,0.1429033821353405,0.4090909090909091,0.05168095793095793,0.11858107260660518,0.4090909090909091,17,0.8854560256532099,-0.4647231720437685,True,False,False,False,False,False,False
2010-05-03,0,11,0,0.0,0.0,0.4090909090909091,0.0,0.4090909090909091,0.0,0.0,0.0,0.1335227272727273,0.19293098689033691,0.4090909090909091,0.07271374458874459,0.1429033821353405,0.4090909090909091,0.05168095793095793,0.11858107260660518,0.4090909090909091,18,0.8229838658936565,-0.5680647467311557,True,False,False,False,False,False,False
2010-05-10,0,20,0,0.0,0.0,0.0,0.0,0.0,0.125,0.0476190476190476,0.0,0.1335227272727273,0.19293098689033691,0.4090909090909091,0.07271374458874459,0.1429033821353405,0.4090909090909091,0.05168095793095793,0.11858107260660518,0.4090909090909091,19,0.7485107481711013,-0.663122658240795,True,False,False,False,False,False,False
2010-05-17,0,16,0,0.0,0.0,0.0,0.0,0.0,0.4090909090909091,0.0,0.0384615384615384,0.10227272727272728,0.20454545454545459,0.4090909090909091,0.06676136363636365,0.14507324972683489,0.4090909090909091,0.05168095793095793,0.11858107260660518,0.4090909090909091,20,0.6631226582407952,-0.7485107481711012,True,False,False,False,False,False,False
